aX,aY,aZ,gX,gY,gZ
-1.231,-1.527,0.137,-71.899,-259.399,241.150
-1.254,-1.375,0.362,-67.749,-258.484,253.113
-1.230,-1.215,0.561,-64.819,-254.578,264.099
-1.168,-1.091,0.680,-62.561,-242.310,271.912
-1.107,-1.021,0.729,-62.988,-220.642,276.733
-1.069,-0.997,0.717,-58.594,-198.425,279.907
-1.045,-0.935,0.682,-53.101,-177.551,284.241
-1.036,-0.820,0.678,-50.293,-162.598,288.879
-0.961,-0.693,0.768,-52.979,-156.555,292.114
-0.861,-0.604,0.903,-57.312,-151.123,292.236
-0.798,-0.534,1.034,-62.134,-137.695,290.283
-0.726,-0.418,1.176,-66.162,-120.605,289.307
-0.639,-0.248,1.292,-67.261,-98.877,288.635
-0.572,-0.072,1.349,-65.247,-70.313,285.339
-0.493,0.107,1.368,-65.430,-39.001,278.931
-0.411,0.256,1.323,-58.289,-7.324,268.860
-0.333,0.333,1.238,-51.270,25.391,254.456
-0.279,0.317,1.091,-48.523,58.167,237.671
-0.233,0.221,0.931,-45.105,86.487,220.398
-0.193,0.075,0.772,-41.382,107.605,206.299
-0.184,-0.078,0.624,-39.551,124.634,196.655
-0.207,-0.123,0.514,-34.851,134.766,193.298
-0.202,-0.024,0.485,-31.494,137.634,195.129
-0.186,0.121,0.502,-26.550,139.709,196.594
-0.184,0.236,0.547,-23.437,145.752,194.458
-0.172,0.312,0.620,-19.531,154.541,189.880
-0.191,0.357,0.684,-9.460,167.847,184.326
-0.232,0.375,0.708,5.554,187.561,178.467
-0.273,0.402,0.710,14.526,207.886,173.767
-0.341,0.455,0.651,19.531,231.079,170.532
-0.415,0.555,0.537,18.250,255.554,168.030
-0.452,0.719,0.384,12.024,278.870,164.978
-0.466,0.912,0.166,1.648,301.086,159.607
-0.491,1.086,-0.108,-5.066,322.876,148.926
-0.462,1.196,-0.369,-8.667,335.876,132.751
-0.424,1.212,-0.606,-4.150,338.806,112.793
-0.380,1.097,-0.859,3.601,337.341,90.576
-0.339,0.899,-1.012,9.888,323.975,69.885
-0.284,0.693,-1.088,11.780,306.213,54.749
-0.252,0.556,-1.139,13.794,293.457,45.837
-0.224,0.490,-1.166,12.268,281.677,41.931
-0.211,0.505,-1.184,6.958,272.278,40.405
-0.193,0.590,-1.182,-0.061,263.550,39.063
-0.177,0.669,-1.218,-4.333,259.399,34.729
-0.181,0.687,-1.281,-5.981,257.751,26.917
-0.169,0.680,-1.352,-7.568,252.747,18.372
-0.164,0.683,-1.426,-8.606,247.681,10.132
-0.156,0.692,-1.488,-7.751,240.784,2.014
-0.179,0.735,-1.556,-6.470,234.741,-5.554
-0.197,0.817,-1.589,-7.629,227.112,-13.184
-0.208,0.916,-1.579,-14.832,219.238,-22.827
-0.228,1.037,-1.568,-25.940,213.745,-34.790
-0.236,1.132,-1.616,-36.926,211.792,-49.866
-0.254,1.164,-1.748,-45.532,211.548,-68.542
-0.306,1.173,-1.919,-50.354,208.313,-88.257
-0.359,1.232,-2.057,-49.011,199.036,-107.483
-0.413,1.308,-2.132,-44.739,184.692,-127.380
-0.484,1.323,-2.140,-42.847,167.786,-150.574
-0.570,1.279,-2.110,-38.757,151.672,-177.002
-0.635,1.139,-2.117,-33.630,139.160,-204.895
-0.699,0.818,-2.214,-30.823,130.615,-233.398
-0.751,0.389,-2.358,-33.447,121.765,-258.545
-0.726,-0.077,-2.556,-42.542,109.009,-274.719
-0.664,-0.630,-2.720,-59.265,87.219,-283.325
-0.566,-1.282,-2.794,-77.759,57.617,-283.813
-0.442,-1.799,-2.660,-86.548,23.560,-272.461
-0.345,-2.484,-2.707,-38.513,-13.306,-254.333
-0.221,-2.786,-2.226,-61.890,-48.767,-211.731
-0.109,-2.787,-1.727,-71.411,-74.524,-156.555
-0.004,-2.435,-1.227,-73.242,-91.370,-98.267
0.062,-1.788,-0.816,-57.922,-92.651,-47.729
0.091,-1.090,-0.531,-41.321,-87.463,-13.428
0.117,-0.483,-0.399,-31.433,-70.496,2.319
0.138,-0.102,-0.389,-31.006,-46.997,2.258
0.163,0.078,-0.357,-54.565,-25.513,-7.202
0.126,-0.097,-0.609,-48.889,-1.221,-24.902
0.104,-0.357,-0.800,-37.842,11.108,-39.612
0.094,-0.603,-1.001,-34.668,18.250,-44.739
0.076,-0.785,-1.146,-30.701,13.672,-42.114
0.072,-0.863,-1.167,-24.780,1.709,-34.058
0.077,-0.861,-1.086,-18.311,-7.751,-23.499
0.079,-0.806,-0.953,-12.634,-14.343,-13.123
0.076,-0.695,-0.809,-8.301,-17.212,-4.028
0.076,-0.552,-0.703,-5.920,-16.235,3.357
0.076,-0.428,-0.648,-5.371,-10.803,7.812
