count,aX,aY,aZ,gX,gY,gZ
23,-0.863,-2.094,0.034,-50.903,-312.5,145.569
24,-0.897,-1.788,0.324,-53.711,-320.923,175.72
25,-0.86,-1.456,0.592,-62.5,-320.923,200.256
26,-0.798,-1.134,0.805,-73.975,-310.852,217.834
27,-0.728,-0.904,0.886,-75.989,-287.231,227.539
28,-0.681,-0.787,0.917,-68.909,-261.902,229.004
29,-0.638,-0.732,0.926,-65.735,-242.065,228.21
30,-0.623,-0.664,0.926,-62.805,-223.083,228.882
31,-0.645,-0.594,0.928,-54.199,-206.909,230.591
32,-0.62,-0.524,1.008,-48.828,-196.045,232.788
33,-0.632,-0.423,1.15,-46.326,-185.913,236.084
34,-0.555,-0.29,1.387,-46.448,-172.668,240.051
35,-0.483,-0.161,1.593,-42.908,-151.917,243.347
36,-0.438,-0.026,1.703,-31.128,-115.967,244.08
37,-0.393,0.102,1.777,-22.156,-78.979,242.676
38,-0.357,0.175,1.8,-15.259,-40.649,238.342
39,-0.339,0.216,1.803,-9.949,-2.869,232.3
40,-0.317,0.219,1.797,-6.531,33.081,225.891
41,-0.323,0.189,1.748,-4.272,70.862,219.727
42,-0.342,0.158,1.661,-1.343,108.765,215.393
43,-0.39,0.134,1.563,0.732,144.836,213.928
44,-0.449,0.127,1.45,6.287,182.068,215.21
45,-0.521,0.164,1.303,16.174,219.116,219.116
46,-0.617,0.272,1.086,27.405,255.371,225.708
47,-0.711,0.44,0.818,36.865,288.086,233.582
48,-0.752,0.667,0.552,39.917,311.401,240.479
49,-0.752,0.942,0.303,39.063,325.928,243.958
50,-0.713,1.228,0.08,36.133,333.496,242.065
51,-0.628,1.469,-0.129,32.959,335.022,232.117
52,-0.553,1.642,-0.326,29.907,333.557,214.233
53,-0.488,1.723,-0.498,26.184,327.942,190.491
54,-0.413,1.725,-0.602,23.743,317.322,162.964
55,-0.345,1.66,-0.707,23.376,306.152,135.437
56,-0.301,1.585,-0.776,18.25,295.837,111.755
57,-0.257,1.515,-0.84,5.615,286.438,91.37
58,-0.205,1.487,-0.889,-7.385,278.015,73.853
59,-0.185,1.486,-0.927,-16.724,269.897,57.678
60,-0.162,1.528,-0.925,-24.963,261.23,42.419
61,-0.15,1.572,-0.901,-29.236,253.784,26.367
62,-0.162,1.556,-0.928,-29.419,253.235,7.812
63,-0.184,1.486,-1.003,-27.222,257.751,-11.536
64,-0.218,1.365,-1.128,-23.865,261.658,-30.151
65,-0.248,1.183,-1.307,-19.958,265.198,-47.241
66,-0.249,0.982,-1.489,-16.357,260.437,-61.218
67,-0.25,0.81,-1.638,-15.869,247.009,-70.251
68,-0.241,0.711,-1.7,-18.311,233.521,-74.341
69,-0.218,0.707,-1.702,-22.522,217.957,-75.012
70,-0.196,0.793,-1.656,-25.513,203.979,-75.195
71,-0.171,0.92,-1.609,-27.039,194.214,-77.942
72,-0.179,1.029,-1.634,-24.963,188.293,-84.9
73,-0.184,1.019,-1.758,-23.804,185.303,-96.863
74,-0.201,0.828,-1.948,-25.879,181.458,-113.098
75,-0.195,0.49,-2.149,-29.663,172.852,-129.089
76,-0.173,0.106,-2.319,-30.945,158.936,-139.526
77,-0.129,-0.227,-2.399,-30.701,140.015,-141.357
78,-0.091,-0.61,-2.524,-14.771,118.774,-135.986
79,-0.011,-0.803,-2.452,-21.973,93.994,-117.798
