aX,aY,aZ,gX,gY,gZ
-0.152,-0.305,0.673,-13.428,-319.702,-51.514
-0.118,-0.393,0.773,-11.658,-306.885,-46.570
-0.061,-0.438,0.885,-9.338,-293.640,-38.086
0.000,-0.439,1.002,-8.179,-278.748,-28.198
0.037,-0.399,1.115,-7.080,-261.536,-18.005
0.073,-0.321,1.214,-8.362,-241.882,-8.789
0.122,-0.204,1.287,-10.986,-220.337,-1.221
0.172,-0.076,1.320,-13.123,-196.533,4.211
0.216,0.028,1.332,-15.686,-172.302,5.859
0.243,0.106,1.331,-18.372,-150.330,4.578
0.267,0.135,1.318,-18.799,-129.822,0.793
0.272,0.130,1.291,-19.043,-111.816,-3.662
0.341,0.101,1.261,-20.691,-94.238,-7.996
0.364,0.023,1.256,-20.020,-81.055,-12.756
0.348,-0.073,1.238,-12.878,-65.369,-15.381
0.351,-0.146,1.227,-6.592,-51.331,-14.893
0.357,-0.178,1.200,-3.357,-37.781,-12.329
0.368,-0.185,1.181,-3.601,-25.146,-9.338
0.368,-0.183,1.167,-3.662,-13.916,-6.287
0.361,-0.181,1.159,-4.211,-4.089,-4.089
0.354,-0.180,1.165,-5.432,5.371,-1.526
0.354,-0.178,1.182,-4.578,14.587,1.160
0.351,-0.171,1.206,-3.174,24.170,4.333
0.344,-0.151,1.224,-0.610,35.706,7.629
0.344,-0.120,1.239,2.808,48.340,11.108
0.349,-0.078,1.254,5.676,61.584,14.343
0.369,-0.029,1.254,6.836,76.477,16.479
0.387,0.015,1.223,7.812,93.445,17.822
0.403,0.048,1.166,8.301,110.840,17.517
0.417,0.055,1.081,9.094,127.991,15.686
0.420,0.029,0.978,9.277,145.752,13.123
0.420,-0.026,0.874,9.277,160.828,10.681
0.412,-0.106,0.770,9.827,174.011,8.972
0.390,-0.186,0.664,11.292,185.913,9.399
0.367,-0.235,0.552,12.695,195.862,12.512
0.343,-0.233,0.447,15.381,202.637,18.250
0.330,-0.171,0.368,18.677,205.139,25.391
0.326,-0.072,0.320,21.606,204.468,31.799
0.322,0.039,0.306,23.132,203.125,35.889
0.324,0.149,0.319,24.597,202.271,37.231
0.334,0.229,0.342,24.353,203.857,35.522
0.330,0.262,0.346,22.827,209.351,31.128
0.315,0.260,0.323,21.301,218.445,25.391
0.319,0.236,0.268,19.409,229.736,19.470
0.320,0.186,0.176,18.555,242.981,14.160
0.304,0.115,0.047,19.348,257.019,9.460
0.306,0.018,-0.098,21.545,270.325,5.981
0.303,-0.102,-0.272,25.330,282.227,4.333
0.293,-0.224,-0.470,29.785,292.847,5.249
0.269,-0.313,-0.684,33.447,299.561,9.949
0.238,-0.343,-0.893,33.630,299.255,18.555
0.230,-0.273,-1.059,28.137,290.710,29.297
0.242,-0.101,-1.188,25.391,278.625,39.673
0.258,0.114,-1.261,21.851,262.085,46.631
0.286,0.320,-1.289,17.334,244.141,47.424
0.322,0.476,-1.282,12.817,225.830,41.748
0.353,0.536,-1.274,10.620,210.571,31.250
0.358,0.492,-1.236,9.583,196.533,18.127
0.372,0.355,-1.202,9.399,185.791,5.493
0.383,0.183,-1.170,9.644,179.138,-3.479
0.392,0.034,-1.149,10.010,175.659,-7.141
0.399,-0.061,-1.161,9.766,175.232,-6.531
0.407,-0.104,-1.219,8.728,177.063,-3.357
0.405,-0.101,-1.341,6.897,182.190,1.648
0.396,-0.071,-1.505,4.028,185.730,6.592
0.409,-0.026,-1.672,1.160,181.763,10.559
0.418,0.001,-1.845,-0.061,175.659,12.451
0.417,0.003,-1.984,-0.854,161.133,13.000
0.425,-0.002,-2.050,-0.671,140.320,13.000
0.426,0.000,-2.073,1.587,121.460,13.550
0.428,0.027,-2.037,2.991,101.318,14.465
0.434,0.083,-1.944,3.540,81.055,15.686
0.449,0.159,-1.817,3.357,63.110,16.296
0.468,0.223,-1.691,2.136,48.584,15.259
0.482,0.257,-1.587,0.427,37.964,11.902
0.478,0.253,-1.504,-1.709,30.518,7.629
0.469,0.221,-1.438,-3.357,25.269,3.357
0.463,0.176,-1.385,-4.211,21.057,-0.061
0.465,0.130,-1.334,-4.883,17.334,-2.258
0.462,0.086,-1.284,-5.432,14.465,-3.357
0.467,0.048,-1.250,-5.432,13.000,-3.418
0.471,0.014,-1.242,-4.700,12.634,-2.563
0.463,-0.011,-1.250,-4.028,12.756,-1.160
0.454,-0.011,-1.268,-3.906,12.268,1.099
0.445,0.020,-1.274,-3.296,10.437,3.906
0.447,0.061,-1.266,-2.563,7.324,5.676
0.447,0.105,-1.249,-1.831,4.089,6.653
0.452,0.145,-1.224,-1.404,0.977,6.287
0.453,0.169,-1.196,-1.099,-1.709,5.066

0.425,0.187,-2.173,2.502,9.766,10.437
0.413,0.241,-2.305,1.404,-2.930,9.705
0.400,0.288,-2.410,-0.366,-19.165,7.751
0.375,0.308,-2.482,-1.038,-38.879,4.089
0.335,0.292,-2.533,-1.953,-60.852,-0.488
0.317,0.256,-2.514,-1.465,-84.534,-4.639
0.285,0.206,-2.504,-0.061,-107.605,-7.568
0.224,0.171,-2.465,1.648,-130.493,-9.277
0.159,0.166,-2.375,4.272,-154.175,-9.460
0.108,0.181,-2.250,7.019,-177.551,-9.277
0.072,0.211,-2.097,8.972,-200.195,-9.827
0.052,0.255,-1.912,7.935,-221.497,-10.925
0.030,0.294,-1.726,5.127,-238.220,-12.939
0.036,0.310,-1.557,1.526,-250.732,-16.785
0.024,0.298,-1.416,-3.418,-259.644,-21.790
0.002,0.257,-1.302,-10.742,-266.174,-26.855
0.000,0.211,-1.201,-20.325,-271.790,-31.128
-0.004,0.180,-1.115,-29.968,-276.917,-33.630
-0.023,0.162,-1.037,-38.513,-282.166,-34.973
-0.034,0.153,-0.961,-43.335,-287.842,-35.828
-0.056,0.151,-0.873,-43.457,-294.556,-36.560
-0.080,0.138,-0.775,-41.077,-302.612,-37.720
-0.108,0.108,-0.634,-35.767,-312.988,-39.795
-0.137,0.061,-0.468,-29.358,-322.754,-42.053
-0.131,-0.003,-0.271,-22.339,-329.712,-44.189
-0.107,-0.092,-0.074,-15.991,-333.496,-45.471
-0.074,-0.189,0.121,-10.986,-332.886,-45.593
-0.059,-0.274,0.292,-6.042,-326.843,-44.006
-0.039,-0.313,0.449,-3.296,-317.505,-39.612
0.015,-0.286,0.589,-9.827,-304.810,-32.104
0.070,-0.204,0.707,-17.700,-288.635,-24.048
0.135,-0.106,0.791,-24.292,-270.691,-17.883
0.183,-0.030,0.830,-27.710,-249.512,-14.832
0.227,0.035,0.837,-29.724,-227.966,-14.099
0.269,0.083,0.825,-30.029,-208.130,-14.771
0.309,0.086,0.805,-27.466,-190.552,-16.907
0.342,0.039,0.789,-23.743,-175.964,-20.142
0.355,-0.030,0.768,-20.691,-162.598,-22.461
0.353,-0.100,0.754,-17.395,-151.978,-22.949
0.373,-0.152,0.756,-15.686,-143.677,-21.362
0.385,-0.165,0.767,-14.709,-136.292,-17.944
