count,aX,aY,aZ,gX,gY,gZ
65,0.569,-0.041,0.556,1.953,115.784,4.944
66,0.555,-0.098,0.543,3.296,122.437,6.042
67,0.533,-0.137,0.521,5.615,131.47,8.85
68,0.505,-0.134,0.5,8.362,140.137,13.489
69,0.498,-0.075,0.474,10.071,149.048,18.799
70,0.492,0.044,0.433,10.803,158.325,23.376
71,0.48,0.181,0.375,9.46,167.969,25.024
72,0.476,0.286,0.303,5.005,177.917,22.827
73,0.467,0.335,0.223,-0.488,186.279,17.151
74,0.456,0.291,0.136,-4.456,193.542,9.094
75,0.443,0.175,0.054,-6.592,200.378,0.977
76,0.431,0.045,-0.018,-7.446,205.994,-4.028
77,0.417,-0.087,-0.082,-7.202,211.243,-5.432
78,0.403,-0.202,-0.171,-4.7,217.712,-4.333
79,0.38,-0.228,-0.311,-0.427,226.379,0.671
80,0.358,-0.131,-0.463,-0.793,231.018,8.301
81,0.346,0.049,-0.58,-4.7,229.37,14.404
82,0.338,0.212,-0.683,-9.277,225.83,15.686
83,0.334,0.291,-0.773,-16.174,220.764,11.963
84,0.329,0.303,-0.831,-22.095,214.233,5.676
85,0.332,0.277,-0.825,-24.902,205.078,-1.221
86,0.337,0.238,-0.751,-25.391,196.411,-6.531
87,0.332,0.191,-0.652,-24.536,193.42,-11.353
88,0.308,0.105,-0.604,-22.949,196.35,-15.747
89,0.277,-0.039,-0.7,-20.508,206.421,-18.982
90,0.249,-0.206,-0.911,-19.226,221.68,-19.592
91,0.22,-0.267,-1.244,-17.639,238.403,-15.137
92,0.216,-0.172,-1.606,-18.86,238.037,-7.568
93,0.243,-0.024,-1.899,-24.292,219.482,-2.136
94,0.295,0.097,-1.979,-30.334,188.965,-1.099
95,0.345,0.169,-1.841,-34.912,160.034,-3.479
96,0.381,0.155,-1.574,-34.607,138.977,-7.507
97,0.396,0.063,-1.332,-30.701,127.869,-12.756
98,0.389,-0.069,-1.218,-23.315,128.479,-15.93
99,0.366,-0.184,-1.314,-13.916,136.597,-15.503
100,0.346,-0.254,-1.562,-7.751,143.188,-11.658
101,0.335,-0.265,-1.828,-4.7,142.761,-5.798
102,0.343,-0.2,-2.001,-6.714,131.287,0.977
103,0.362,-0.07,-2.049,-10.681,113.708,6.592
104,0.378,0.014,-1.979,-15.564,94.788,8.789
105,0.386,-0.003,-1.837,-19.897,78.43,8.118
106,0.391,-0.047,-1.707,-19.47,67.627,7.446
107,0.39,-0.038,-1.636,-14.282,61.89,8.301
108,0.387,0.037,-1.64,-6.348,58.96,9.766
109,0.385,0.112,-1.691,1.221,55.664,10.071
110,0.38,0.133,-1.747,5.737,49.988,8.24
111,0.379,0.128,-1.769,8.179,41.382,5.554
112,0.38,0.117,-1.746,7.751,31.128,3.235
113,0.383,0.088,-1.686,5.005,20.508,1.038
114,0.384,0.026,-1.609,0.549,10.742,-0.977
115,0.383,-0.03,-1.524,-3.662,2.38,-1.587
116,0.381,-0.043,-1.421,-6.775,-4.944,-0.671
117,0.378,-0.015,-1.3,-8.118,-10.559,0.671
118,0.374,0.023,-1.182,-7.996,-13.672,1.404
119,0.37,0.055,-1.1,-6.897,-13.794,1.343

1,0.4,0.089,-2.061,-1.282,-68.848,10.071
2,0.399,0.042,-2.006,-2.136,-82.275,7.812
3,0.395,-0.018,-1.967,-1.587,-92.712,6.836
4,0.383,-0.042,-1.999,0.183,-100.281,7.69
5,0.371,-0.001,-2.074,2.136,-108.215,9.827
6,0.347,0.109,-2.149,2.258,-119.202,12.024
7,0.324,0.217,-2.191,0,-133.484,12.39
